open,low,high,close,change,changepercent,date miladi,date shamsi
"885,700","874,300","885,700","883,500",2000,0.23%,12/02/2025,1403/11/24
"916,650","869,800","916,700","881,500",32150,3.65%,11/02/2025,1403/11/23
"888,400","888,300","913,700","913,650",24050,2.70%,09/02/2025,1403/11/21
"877,600","874,300","890,700","889,600",35000,4.10%,08/02/2025,1403/11/20
"851,800","851,800","855,700","854,600",1900,0.22%,06/02/2025,1403/11/18
"845,500","845,300","854,200","852,700",6750,0.80%,05/02/2025,1403/11/17
"838,200","837,800","846,200","845,950",7300,0.87%,04/02/2025,1403/11/16
"840,200","836,300","844,200","838,650",1850,0.22%,03/02/2025,1403/11/15
"838,950","838,600","845,200","840,500",2850,0.34%,02/02/2025,1403/11/14
"834,700","834,300","838,200","837,650",2550,0.31%,01/02/2025,1403/11/13
"832,100","830,600","835,700","835,100",2800,0.34%,30/01/2025,1403/11/11
"836,400","830,600","837,700","832,300",7000,0.84%,29/01/2025,1403/11/10
"837,400","835,300","841,200","839,300",500,0.06%,27/01/2025,1403/11/08
"835,850","835,300","839,700","838,800",4900,0.59%,26/01/2025,1403/11/07
"829,400","829,300","835,700","833,900",5150,0.62%,25/01/2025,1403/11/06
"824,800","824,800","839,200","839,050",13350,1.62%,23/01/2025,1403/11/04
"823,900","822,800","828,200","825,700",2350,0.29%,22/01/2025,1403/11/03
"808,800","808,800","823,700","823,350",13150,1.62%,21/01/2025,1403/11/02
"806,400","806,300","812,200","810,200",3500,0.43%,20/01/2025,1403/11/01
"806,350","806,300","809,200","806,700",1400,0.17%,19/01/2025,1403/10/30
"796,100","795,800","805,700","805,300",4600,0.57%,18/01/2025,1403/10/29
"803,350","799,300","803,700","800,700",4150,0.52%,16/01/2025,1403/10/27
"813,650","804,800","813,700","804,850",9750,1.21%,15/01/2025,1403/10/26
"806,400","806,300","816,200","814,600",7950,0.99%,13/01/2025,1403/10/24
"817,650","805,800","817,700","806,650",12850,1.59%,12/01/2025,1403/10/23
